,タイトル,URL,ソース,日付
25,[IICS] Secure Agent のインストール手順,https://qiita.com/daichi-kaneko/items/b3a15116b35dba676b68?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
26,AIが進歩してもエンジニアを続けられる理由,https://qiita.com/front_to_dev/items/09c62f11244488f8b75a?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
27,GitHub Actionsでダウンロードに失敗するときには HTTP HEADER に GitHub TokenでBearer認証をかける,https://qiita.com/zacky1972/items/26cfba3d093420bf80a0?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
28,[Delphi] 半透明でクリックを透過するウィンドウの作り方,https://qiita.com/pik/items/71142d607937bc713af2?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
29,「アステロイド・シティ」カフェ＆展覧会、渋谷PARCOで開催！ スペシャルドリンク、グッズ販売も,https://eiga.com/news/20230822/11/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
30,AI生成動画にありがちな「画面がチラチラする」という欠点を改善する「CoDeF」,https://gigazine.net/news/20230822-codef/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
31,ゼンハイザー、聞こえをサポートするヒアリングデバイス「Conversation Clear Plus」,https://japan.cnet.com/article/35208090/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
32,VAIO、リユースPCを販売する認定整備済PC事業--単なる中古ではない「メーカーならでは」の価値を,https://japan.cnet.com/article/35208077/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
33,華やかでおしゃれなメニュー！イーストサイド・カフェ「東京ディズニーリゾート40周年”ドリームゴーラウンド”」スペシャルセット,https://mezzomiki.jp/post-260147/,MezzoMikiのディズニーブログ,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
34,86インチまで対応した、丸フレームを採用！柔らかいデザインのテレビスタンド,https://itlifehack.jp/archives/10675673.html,ITライフハック,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
35,「葬送のフリーレン」新パーティーのフェルンは市ノ瀬加那、シュタルクは小林千晃が担当,https://eiga.com/news/20230822/10/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
36,最高気温が40度を超えるテキサス州の電力価格が60倍以上に急騰、スポット電力価格はメガワット時あたり平均75ドルから4750ドルに上昇,https://gigazine.net/news/20230822-texas-electricity-prices/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
37,シンデレラ城、ミッキーモチーフ！東京ディズニーランド ガラスグッズ（グラス）,https://mezzomiki.jp/post-267481/,MezzoMikiのディズニーブログ,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
38,【衝撃】“エサ”を求めてビーチに迫りくる超巨大ザメの群れ 「MEG ザ・モンスターズ2」本編映像,https://eiga.com/news/20230822/9/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
39,日本の研究で幼児期の「スクリーンタイム」の長さと発達の遅れとの間には関連性があることが判明,https://gigazine.net/news/20230822-screen-time-communication-problem-solving-delay/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
40,Rem3dy Health、3Dプリンタでつくるサプリメント・グミ「ナリッシュ3D」を発売へ,https://japan.cnet.com/article/35208078/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
41,アマプラ「プリティ・リーグ」がキャンセル ハリウッドのストライキが影響か？,https://eiga.com/news/20230822/15/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
42,BraveのNightly版に日本語でも返答可能なチャットAI「Leo」が搭載されたので使ってみた,https://gigazine.net/news/20230822-brave-nightly-leo-llama-2/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
43,iPhone 15ではUSB-CポートとSIMカードスロットが統合される可能性,https://gigazine.net/news/20230822-apple-iphone-15-usb-c-sim-slots/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
44,Netflixアニメ「悪魔くん」11月9日配信開始 下野紘らが出演決定、予告PV＆ビジュアル公開,https://eiga.com/news/20230822/8/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
45,想像以上の価値！CHUWI、ミニPC「HeroBox 2023」,https://itlifehack.jp/archives/10675674.html,ITライフハック,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
46,Googleが「大規模言語モデルに視覚を与える仕組み」について解説、メルカリと協力して作成したデモも公開,https://gigazine.net/news/20230822-llm-with-vision/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
47,透明豚骨スープがさらっとしつつも風味濃厚な「明星 麺とスープだけ え?透明スープの豚骨!?」を食べてみた,https://gigazine.net/news/20230822-myojo-tonkotsu-transparent-soup/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
48,2023 non-syntax Experimental Image Festival「SISA 視差」 立川清志楼 映像展『生産報告命令』,https://artscape.jp/exhibition/art-flash-news/2023/10186654_22413.html,artscape:Art Flash News,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
49,ソフトバンクG傘下のArm、Nasdaq上場を申請,https://japan.cnet.com/article/35208072/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
50,YouTubeが「アーティストや作品を守りながらAIを活用するための3原則」を大手音楽企業と提携して発表,https://gigazine.net/news/20230822-youtube-universal-music-gourp-ai/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
51,高橋一生「岸辺露伴 ルーヴルへ行く」9月22日からAmazonプライム・ビデオで見放題独占配信,https://eiga.com/news/20230822/7/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
52,街角で広告を流す電子看板がハッキングされてポルノ映画を流してしまう,https://gigazine.net/news/20230822-iraq-porn-on-screen/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
53,アンカー、ロボット掃除機搭載の一部バッテリーから発火--対象バッテリーの回収、交換へ,https://japan.cnet.com/article/35208073/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
54,X（旧Twitter）がブロック機能の廃止を示唆する一方、Twitchは強化へ,https://japan.cnet.com/article/35208065/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
55,タイカ・ワイティティ監督、「マイティ・ソー5」の構想を明かす,https://eiga.com/news/20230822/6/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
56,イーロン・マスクがロシアとウクライナ間の戦争で大きな影響力を持っているとの指摘,https://gigazine.net/news/20230822-elon-musk-starlink/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
57,テスラから7万5000人分以上の個人情報が流出、テスラは元従業員2人の犯行と断定,https://gigazine.net/news/20230822-tesla-data-breach-leak-insider/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
58,「Threads」のウェブ版、今週リリースか,https://japan.cnet.com/article/35208063/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
59,「スーパーマリオ64」からマリオの声を担当してきたチャールズ・マーティネーが降板,https://gigazine.net/news/20230822-charles-martinet-steps-down-mario-voice/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
60,X(旧Twitter)が2014年以前の画像を表示できない不具合を認めて修正,https://gigazine.net/news/20230822-x-t-co-broken-fix/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
61,「Chrome 117」、拡張機能の安全確認が可能に,https://japan.cnet.com/article/35208062/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
62,作業スペースを美しく整える！多機能ドッキングステーション 2モデル,https://itlifehack.jp/archives/10675668.html,ITライフハック,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
63,アドベンチャーランド「ボイラールーム・バイツ」横に登場！東京ディズニーランド ミッキーシェイプの泡が作れる”ハンドウォッシングエリア”,https://mezzomiki.jp/post-267608/,MezzoMikiのディズニーブログ,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
64,自社製品に組み込む為のオープンソースのAI copilot・「OpenCopilot」,http://kachibito.net/useful-resource/opencopilot,かちびと.net,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
65,マーガレット・クアリーが結婚,https://eiga.com/news/20230822/5/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
66,トゥモーランドデザイン！東京ディズニーランド「トレジャーコメット横」ポップコーン店,https://mezzomiki.jp/post-267668/,MezzoMikiのディズニーブログ,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
67,ペイパル、特典がある海外加盟店舗などを一覧できる「海外ショッピングハブ」を公開,https://japan.cnet.com/article/35208057/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
68,Chrome 116 デベロッパーツールの新機能が便利！ 正常に読み込まれなかったスタイルシートのデバッグが簡単に,https://coliss.com/articles/build-websites/operation/css/debugging-of-missing-stylesheets-chrome-116.html,コリス,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
69,AIが生成した作品は著作権で保護されない--米裁判所が判決,https://japan.cnet.com/article/35208060/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
70,クリストファー・ノーラン監督「オッペンハイマー」 R指定実話映画として異例の大ヒット,https://eiga.com/news/20230822/4/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
71,今から始めて追いつけるAI学習入門セット、画像生成・音声変換・AIチャット・英単語をわかりやすいムービー形式で基礎から学べる「Udemy」講座まとめ,https://gigazine.net/news/20230822-udemy/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
72,NTT法、変わるとどうなる？--防衛費捻出で浮上したNTT株売却案、懸念はあるも研究成果流出の歯止めに,https://japan.cnet.com/article/35208047/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
73,「Pixel 8」、カメラアプリが大幅刷新か,https://japan.cnet.com/article/35208059/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
74,実践：ChatGPTに新規事業企画を立案させる（2）--発想を追加し血の通ったアイデアに,https://japan.cnet.com/article/35207896/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
75,「Gmail」で機密情報を送りたい--メールの有効期限やパスワードを設定しよう,https://japan.cnet.com/article/35207888/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
76,最新テクノロジーや科学をフィクション作品に取り入れる際に注意すべきポイントと「エレガントな方法」とは？,https://gigazine.net/news/20230822-elegantly-sf/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
77,「キングダム」が4週連続V！ 2位「君たちはどう生きるか」、3位は「マイ・エレメント」、6位に鳥山明原作「SAND LAND」【国内映画ランキング】,https://eiga.com/news/20230822/3/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
78,秋のアップル発表会に期待する新製品--「iPhone 15」「Apple Watch Ultra 2」など,https://japan.cnet.com/article/35207874/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
79,海の京都で音楽と食を楽しむ。ミュージックフェスティバル「KYOTOPHONIE」が今秋開催へ(美術手帖),https://news.yahoo.co.jp/articles/394970737d89bc6d4f77ae567f94ce3d9a0bf220?source=rss,美術手帖 - Yahoo!ニュース,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
80,漫画「グッド・ナイト・ワールド」アニメ化 廣瀬大介、島崎信長ら出演で10月からNetflix独占配信,https://eiga.com/news/20230822/2/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
81,eSIMはどんな仕組みで成立しているのか？についてモバイル通信を熟知したエンジニアが解説,https://gigazine.net/news/20230822-esim/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
82,Webデザインスクールの費用・料金相場！20万円以下で通える6校,https://liginc.co.jp/blog/web-design-school/631614,株式会社LIG(リグ)｜DX支援・システム開発・Web制作株式会社LIG(リグ)｜DX支援・システム開発・Web制作,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
83,ジェネレーティブAIの進歩に大きな影響を与えた「Transformer」を開発した研究者らはなぜGoogleを去ったのか？,https://gigazine.net/news/20230822-google-scientists-generative-ai/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
84,Nx バージョン 0.6.0 の破壊的変更,https://qiita.com/RyoWakabayashi/items/6db6b09cdab7d4e678b0?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
85,【2023年】プログラミング・Pythonの無料おすすめ学習教材13選,https://qiita.com/skillup_ai/items/75e892e166f41ca85bf8?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
86,AZ-900に合格しました！！,https://qiita.com/ayane-murakami/items/f1fc66c93eee5df56a31?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
87,Kubernetes 1.28: 変更点まとめ(What''s new!)とアップグレード時の注意事項,https://qiita.com/uesyn/items/a14a5abfc223ab2b6c09?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
88,今すぐにでも使いたいPower Appsのモダンコントロール（Spinner）,https://qiita.com/DEmodoriGatsuO/items/417a173bfad4b1612837?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
89,Ubuntuが起動しないときの対処法,https://qiita.com/TakanoTaiga/items/6545e01ec80c665b0db2?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
90,【Laravel】で、filamentの管理パネルって何？と,https://qiita.com/sgrs38/items/149c2b7ff3a251f72a32?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
91,"Ruby ループ処理に対する break,retrun,nextの挙動",https://qiita.com/t-masa-works/items/ebed1e0839220da51983?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
92,「マイホームヒーロー」ドラマ＆映画で同時に実写化 佐々木蔵之介、高橋恭平、齋藤飛鳥、木村多江ら集結,https://eiga.com/news/20230822/1/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
93,Threadsのウェブ版、間もなく登場か。今週始めにリリースする計画と報道,https://www.danshihack.com/2023/08/22/junp/summary/threads-7.html,男子ハック,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
94,「いきものさん」第9話の副音声を平野綾と杉田智和が担当 対談動画公開,https://eiga.com/news/20230821/18/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
